cdgeb-file-01,DC-AWS-Asia Pacific (Tokyo)
cdgeb-file-02,DC-AWS-EU (Frankfurt)
cdgeb-file-03,DC-AWS-Asia Pacific (Seoul)
cdgeb-file-04,DC-AWS-EU (Stockholm)
cdgeb-file-05,DC-AWS-US East (Ohio)
cdgeb-file-06,DC-AWS-US West (N. California)
cdgeb-file-07,DC-AWS-Canada (Central)
cdgeb-file-08,DC-AWS-US East (Virginia)
cdgeb-file-09,DC-AWS-Asia Pacific (Mumbai)
cdgeb-file-10,DC-AWS-Europe (London)
cdgeb-file-11,DC-AWS-EU (Ireland)
cdgeb-file-12,DC-AWS-US West (Oregon)
cdgeb-file-13,DC-AWS-Asia Pacific (Singapore)
cdgeb-file-14,DC-AWS-Europe (Paris)
cdgeb-file-15,DC-AWS-Asia Pacific (Sidney)
cdgeb-file-16,DC-AWS-South America (Sao Paulo)
cdgeb-file-17,DC-AWS-Asia Pacific (Osaka)