file_Asia Pacific (Osaka),DC-AWS-Asia Pacific (Osaka),
file_Asia Pacific (Seoul),DC-AWS-Asia Pacific (Seoul),
file_Asia Pacific (Tokyo),DC-AWS-Asia Pacific (Tokyo),
file_Europe (London),DC-AWS-Europe (London),
file_Europe (Milan),DC-AWS-Europe (Milan),
file_Europe (Paris),DC-AWS-Europe (Paris),
file_Europe (Zurich),DC-AWS-Europe (Zurich),
file_US East (Ohio),DC-AWS-US East (Ohio),
file_US East (Virginia),DC-AWS-US East (Virginia),
file_US West (N. California),DC-AWS-US West (N. California),
file_US West (Oregon),DC-AWS-US West (Oregon),