file_Asia Pacific (Osaka),frontend_Asia Pacific (Osaka),
file_Asia Pacific (Seoul),frontend_Asia Pacific (Seoul),
file_Asia Pacific (Tokyo),frontend_Asia Pacific (Tokyo),
file_Europe (London),frontend_Europe (London),
file_Europe (Milan),frontend_Europe (Milan),
file_Europe (Paris),frontend_Europe (Paris),
file_Europe (Zurich),frontend_Europe (Zurich),
file_US East (Ohio),frontend_US East (Ohio),
file_US East (Virginia),frontend_US East (Virginia),
file_US West (N. California),frontend_US West (N. California),
file_US West (Oregon),frontend_US West (Oregon),