cdgeb-probe-01,45.5075,-73.5887,None,
cdgeb-probe-02,43.6547,-79.3623,None,
cdgeb-probe-03,-23.5335,-46.6359,None,
cdgeb-probe-04,45.5999,-121.1871,None,
cdgeb-probe-05,34.0544,-118.2441,None,
cdgeb-probe-06,52.2296,21.0067,None,
cdgeb-probe-07,61.0636,28.189,None,
cdgeb-probe-08,40.4163,-3.6934,None,
cdgeb-probe-09,25.2952,51.5321,None,
cdgeb-probe-10,32.0803,34.7805,None,
cdgeb-probe-11,25.0504,121.5324,None,
cdgeb-probe-12,22.2842,114.1759,None,
cdgeb-probe-13,35.6893,139.6899,None,
cdgeb-probe-14,34.6946,135.5021,None,